GROUP,PACKAGE,CLASS,INSTRUCTION_MISSED,INSTRUCTION_COVERED,BRANCH_MISSED,BRANCH_COVERED,LINE_MISSED,LINE_COVERED,COMPLEXITY_MISSED,COMPLEXITY_COVERED,METHOD_MISSED,METHOD_COVERED
stars,edu.brown.cs.student.maps,Path,69,42,8,0,13,13,8,7,4,7
stars,edu.brown.cs.student.maps,NearestCommand,2,63,2,6,0,15,2,5,0,3
stars,edu.brown.cs.student.maps,Pathfinder.new CacheLoader() {...},0,9,0,0,0,2,0,2,0,2
stars,edu.brown.cs.student.maps,RouteCommand,7,261,2,28,2,62,2,19,0,6
stars,edu.brown.cs.student.maps,MapCommand,5,160,2,14,2,39,2,17,0,11
stars,edu.brown.cs.student.maps,Node,17,186,2,8,6,36,5,12,3,9
stars,edu.brown.cs.student.maps,Haversine,0,43,0,0,0,8,0,2,0,2
stars,edu.brown.cs.student.maps,Database,14,96,0,12,6,29,0,11,0,5
stars,edu.brown.cs.student.maps,Pathfinder,0,164,0,16,0,38,0,14,0,6
stars,edu.brown.cs.student.maps,WaysCommand,0,123,1,11,0,30,1,8,0,3
stars,edu.brown.cs.student.stars,SortByDimension,0,18,0,0,0,6,0,2,0,2
stars,edu.brown.cs.student.stars,Main,231,0,4,0,55,0,11,0,9,0
stars,edu.brown.cs.student.stars,MockPerson,0,64,0,4,0,13,0,5,0,3
stars,edu.brown.cs.student.stars,BoundedPriorityQueue,0,100,0,10,0,24,0,10,0,5
stars,edu.brown.cs.student.stars,Mock,12,157,2,4,4,29,2,4,0,3
stars,edu.brown.cs.student.stars,REPL,14,34,2,2,3,9,3,3,1,3
stars,edu.brown.cs.student.stars,Star,10,140,3,9,3,26,4,14,1,11
stars,edu.brown.cs.student.stars,Neighbors,10,140,5,11,3,35,5,7,0,4
stars,edu.brown.cs.student.stars,CSVParser,2,141,1,21,0,33,1,15,0,5
stars,edu.brown.cs.student.stars,KDTree.KDNode,78,69,10,0,14,23,8,11,3,11
stars,edu.brown.cs.student.stars,NaiveNeighbors,0,242,5,25,0,58,5,15,0,5
stars,edu.brown.cs.student.stars,Stars,8,162,1,7,3,31,1,6,0,3
stars,edu.brown.cs.student.stars,Radius,2,137,3,9,1,33,3,7,0,4
stars,edu.brown.cs.student.stars,Main.ExceptionPrinter,26,0,0,0,8,0,1,0,1,0
stars,edu.brown.cs.student.stars,Common,0,150,1,17,0,36,1,17,0,9
stars,edu.brown.cs.student.stars,NaiveRadius,0,157,3,13,0,38,3,10,0,5
stars,edu.brown.cs.student.stars,KDTree,8,579,3,49,3,123,4,43,1,20
stars,edu.brown.cs.student.stars,Main.FrontHandler,328,0,30,0,50,0,16,0,1,0
